Control ID,User-visible name,Command ID,Keyboard shortcut,Panel,Group,Required selection/context,Build 40 enabled condition,Input parameters,Engine/desktop method,Semantic score mutation,Undo/redo transaction,Layout invalidation,Playback impact,Save/reopen behaviour,Staff/Sol-fa synchronization,Part synchronization,Import/export implication,Success/failure feedback,Automated test evidence,Manual verification evidence,Build 40 status,Build 41 production visibility,Scheduled corrective build,Evidence/reason,Build 42 status,Build 42 production visibility,Build 42 enabled condition,Build 42 automated evidence,Build 42 manual/visual evidence,Build 43 status,Build 43 production visibility,Build 43 enabled condition,Build 43 automated evidence,Build 43 manual/visual evidence,Build 50 status,Build 50 production visibility,Build 50 execution path,Build 50 automated evidence,Build 50 release evidence,Current status,Production visibility,Execution path,Automated evidence,Release evidence
data-command:beamSelected,Beam selected,beamSelected,,notation,ARTICULATIONS AND EXPRESSION,selected-note,,,engine.beamSelection(),Creates meter-safe nested beam levels for selected short-note onsets,One Composer engine commit; tested undo/redo where applicable,Score mutation triggers staff/page rerender,,Persisted in .airscore; MusicXML verified where applicable,Uses authoritative score events; no parallel UI-only model,,Serialized to .airscore and MusicXML where supported,Context-gated; recoverable musical errors leave score unchanged,,,,,43,"Build 43 connects this control to the authoritative score model with undo, persistence, staff rendering and automated regression evidence; Windows/manual usability evidence remains required.",,,,,,VERIFIED FUNCTIONAL,VISIBLE,selected-note,test/v123-build43-rhythmic-notation.test.js,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('beamSelected'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('beamSelected'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:collapsePianoPanel,Hide piano panel,collapsePianoPanel,,workspace,Workspace,score,Always enabled in markup; no central command-context contract,None,setPianoOpen,No score mutation; genuine workspace/view operation,Not applicable or transport/view only,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Not applicable,Indirect through authoritative score where applicable,Not applicable or covered by existing engine path,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,browser-smoke command,No complete manual staff-workflow proof in current environment,VERIFIED FUNCTIONAL,VISIBLE,41,Direct renderer or engine path has automated evidence; final Windows/manual usability evidence is still required.,VERIFIED FUNCTIONAL,VISIBLE,score,browser-smoke command,No new human Windows verification in Build 42,VERIFIED FUNCTIONAL,VISIBLE,score,browser-smoke command,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('collapsePianoPanel'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('collapsePianoPanel'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:copy,Copy selected music,copy,Ctrl+C,compose,SELECTION AND CLIPBOARD,selection,Always enabled in markup; no central command-context contract,None,engine.copySelection,Engine operation: copySelection,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,engine-method references in tests: 2,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,42,"A renderer or engine path exists, but complete staff interaction, context gating, visual proof, persistence, and real-user evidence are incomplete.",PARTIALLY FUNCTIONAL,HIDDEN,selection,engine-method references in tests: 2,No new human Windows verification in Build 42,PARTIALLY FUNCTIONAL,HIDDEN,selection,engine-method references in tests: 2,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('copy'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('copy'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:copyLyricVerse,Copy verse,copyLyricVerse,,lyrics,LYRICS AND TEXT,score,Always enabled in markup; no central command-context contract,lyricSourceVerse; lyricTargetVerse,engine.copyLyricVerse,Engine operation: copyLyricVerse,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,engine-method references in tests: 1,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,44,"A renderer or engine path exists, but complete staff interaction, context gating, visual proof, persistence, and real-user evidence are incomplete.",PARTIALLY FUNCTIONAL,HIDDEN,score,engine-method references in tests: 1,No new human Windows verification in Build 42,PARTIALLY FUNCTIONAL,HIDDEN,score,engine-method references in tests: 1,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('copyLyricVerse'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('copyLyricVerse'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:copyToLayer,Copy to voice,copyToLayer,,notation,VOICES AND LAYERS,selection,Always enabled in markup; no central command-context contract,targetVoiceSelect,engine.copySelectionToLayer,Engine operation: copySelectionToLayer,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,engine-method references in tests: 2,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,43,"A renderer or engine path exists, but complete staff interaction, context gating, visual proof, persistence, and real-user evidence are incomplete.",PARTIALLY FUNCTIONAL,HIDDEN,selection,engine-method references in tests: 2,No new human Windows verification in Build 42,PARTIALLY FUNCTIONAL,HIDDEN,selection,engine-method references in tests: 2,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('copyToLayer'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('copyToLayer'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:deleteLyricVerse,Delete target,deleteLyricVerse,,lyrics,LYRICS AND TEXT,score,Always enabled in markup; no central command-context contract,lyricTargetVerse,engine.deleteLyricVerse,Engine operation: deleteLyricVerse,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,engine-method references in tests: 1,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,44,"A renderer or engine path exists, but complete staff interaction, context gating, visual proof, persistence, and real-user evidence are incomplete.",PARTIALLY FUNCTIONAL,HIDDEN,score,engine-method references in tests: 1,No new human Windows verification in Build 42,PARTIALLY FUNCTIONAL,HIDDEN,score,engine-method references in tests: 1,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('deleteLyricVerse'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('deleteLyricVerse'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:deleteSelection,Delete,deleteSelection,,notation,NOTE ENTRY,selection,Always enabled in markup; no central command-context contract,None,engine.deleteSelection,Delete selected events,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Should update shared score; user-facing proof incomplete,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,engine-method references in tests: 2,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,42,"Deletes the real selected score events, repairs dependent data through the engine, and supports undo.",VERIFIED FUNCTIONAL,VISIBLE,selection,test/v122-build42-staff-input.test.js; browser-smoke Build 42 keypad checks,Rendered Build 42 staff screenshot and browser interaction report; human Windows verification pending,VERIFIED FUNCTIONAL,VISIBLE,selection,test/v122-build42-staff-input.test.js; browser-smoke Build 42 keypad checks,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('deleteSelection'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('deleteSelection'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:disconnectMidi,Disconnect,disconnectMidi,,playback,PLAYBACK,midi-input-device,Always enabled in markup; no central command-context contract,None,engine.disconnectMidi,Engine operation: disconnectMidi,Not applicable or transport/view only,Engine change triggers full render; direct viewport commands reflow page service,Direct,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Not applicable or covered by existing engine path,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,static wiring only,Physical Windows/hardware evidence unavailable,BLOCKED,HIDDEN,46,Requires a connected physical MIDI input.,BLOCKED,HIDDEN,midi-input-device,static wiring only,No new human Windows verification in Build 42,BLOCKED,HIDDEN,midi-input-device,static wiring only,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('disconnectMidi'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('disconnectMidi'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:dotSelected,Dot,dotSelected,,notation,NOTE ENTRY,active-part,Always enabled in markup; no central command-context contract,None,engine.toggleDot,Change event duration and augmentation-dot metadata,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Should update shared score; user-facing proof incomplete,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,static wiring only,User recording confirms failure,BROKEN,HIDDEN,42,"The dot control updates the pending note value or a valid selected duration, preflights barline and overlap conflicts, and rolls back rejected edits.",VERIFIED FUNCTIONAL,VISIBLE,active-part,test/v122-build42-staff-input.test.js; browser-smoke Build 42 keypad checks,Rendered Build 42 staff screenshot and browser interaction report; human Windows verification pending,VERIFIED FUNCTIONAL,VISIBLE,active-part,test/v122-build42-staff-input.test.js; browser-smoke Build 42 keypad checks,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('dotSelected'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('dotSelected'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:enableMidi,Enable MIDI,enableMidi,,playback,PLAYBACK,score,Always enabled in markup; no central command-context contract,None,enableMidi,Requires dynamic verification,Not applicable or transport/view only,Engine change triggers full render; direct viewport commands reflow page service,Direct,Not applicable,Indirect through authoritative score where applicable,Not applicable or covered by existing engine path,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,browser-smoke command,Physical Windows/hardware evidence unavailable,BLOCKED,HIDDEN,46,Requires real Windows MIDI permission and hardware verification.,BLOCKED,HIDDEN,score,browser-smoke command,No new human Windows verification in Build 42,BLOCKED,HIDDEN,score,browser-smoke command,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('enableMidi'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('enableMidi'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:enableMidiOutput,Enable output,enableMidiOutput,,playback,PLAYBACK,score,Always enabled in markup; no central command-context contract,None,enableMidiOutput,Requires dynamic verification,Not applicable or transport/view only,Engine change triggers full render; direct viewport commands reflow page service,Direct,Not applicable,Indirect through authoritative score where applicable,Not applicable or covered by existing engine path,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,browser-smoke command,Physical Windows/hardware evidence unavailable,BLOCKED,HIDDEN,46,Requires real Windows MIDI output permission and hardware verification.,BLOCKED,HIDDEN,score,browser-smoke command,No new human Windows verification in Build 42,BLOCKED,HIDDEN,score,browser-smoke command,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('enableMidiOutput'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('enableMidiOutput'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:exit,Close Airmonlink Composer,exit,,compose,FILE AND PROJECT,score,Always enabled in markup; no central command-context contract,None,airmonDesktop.requestQuit,Requires dynamic verification,Not applicable or transport/view only,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Not applicable,Indirect through authoritative score where applicable,Not applicable or covered by existing engine path,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,static wiring only,No complete manual staff-workflow proof in current environment,VERIFIED FUNCTIONAL,VISIBLE,41,Direct renderer or engine path has automated evidence; final Windows/manual usability evidence is still required.,VERIFIED FUNCTIONAL,VISIBLE,score,static wiring only,No new human Windows verification in Build 42,VERIFIED FUNCTIONAL,VISIBLE,score,static wiring only,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('exit'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('exit'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:exportMidi,MIDI,exportMidi,,publish,IMPORT AND EXPORT,score,Always enabled in markup; no central command-context contract,None,engine.exportMidi,Serialize score to MIDI,Not applicable or transport/view only,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Not applicable or covered by existing engine path,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,browser-smoke command; engine-method references in tests: 2,No complete manual staff-workflow proof in current environment,VERIFIED FUNCTIONAL,VISIBLE,41,Direct renderer or engine path has automated evidence; final Windows/manual usability evidence is still required.,VERIFIED FUNCTIONAL,VISIBLE,score,browser-smoke command; engine-method references in tests: 2,No new human Windows verification in Build 42,VERIFIED FUNCTIONAL,VISIBLE,score,browser-smoke command; engine-method references in tests: 2,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('exportMidi'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('exportMidi'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:exportMusicXml,MusicXML,exportMusicXml,,publish,IMPORT AND EXPORT,score,Always enabled in markup; no central command-context contract,None,engine.exportMusicXml,Serialize score to MusicXML,Not applicable or transport/view only,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Not applicable or covered by existing engine path,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,browser-smoke command; engine-method references in tests: 3,No complete manual staff-workflow proof in current environment,VERIFIED FUNCTIONAL,VISIBLE,41,Direct renderer or engine path has automated evidence; final Windows/manual usability evidence is still required.,VERIFIED FUNCTIONAL,VISIBLE,score,browser-smoke command; engine-method references in tests: 3,No new human Windows verification in Build 42,VERIFIED FUNCTIONAL,VISIBLE,score,browser-smoke command; engine-method references in tests: 3,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('exportMusicXml'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('exportMusicXml'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:exportMxl,Compressed MXL,exportMxl,,publish,IMPORT AND EXPORT,score,Always enabled in markup; no central command-context contract,None,engine.exportMxl,Serialize score to compressed MusicXML,Not applicable or transport/view only,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Not applicable or covered by existing engine path,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,static wiring only,No complete manual staff-workflow proof in current environment,VERIFIED FUNCTIONAL,VISIBLE,41,Direct renderer or engine path has automated evidence; final Windows/manual usability evidence is still required.,VERIFIED FUNCTIONAL,VISIBLE,score,static wiring only,No new human Windows verification in Build 42,VERIFIED FUNCTIONAL,VISIBLE,score,static wiring only,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('exportMxl'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('exportMxl'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:exportPdf,Export PDF,exportPdf,,publish,IMPORT AND EXPORT,score,Always enabled in markup; no central command-context contract,None,airmonDesktop.exportPdf,Export score PDF,Not applicable or transport/view only,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Not applicable or covered by existing engine path,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,browser-smoke command,No complete manual staff-workflow proof in current environment,VERIFIED FUNCTIONAL,VISIBLE,41,Direct renderer or engine path has automated evidence; final Windows/manual usability evidence is still required.,VERIFIED FUNCTIONAL,VISIBLE,score,browser-smoke command,No new human Windows verification in Build 42,VERIFIED FUNCTIONAL,VISIBLE,score,browser-smoke command,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('exportPdf'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('exportPdf'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:exportPng,Export PNG,exportPng,,publish,IMPORT AND EXPORT,score,Always enabled in markup; no central command-context contract,None,exportPng,Export score page image,Not applicable or transport/view only,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,static wiring only,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,46,"A renderer or engine path exists, but complete staff interaction, context gating, visual proof, persistence, and real-user evidence are incomplete.",PARTIALLY FUNCTIONAL,HIDDEN,score,static wiring only,No new human Windows verification in Build 42,PARTIALLY FUNCTIONAL,HIDDEN,score,static wiring only,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('exportPng'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('exportPng'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:fermata,Fermata,fermata,,notation,ARTICULATIONS AND EXPRESSION,selected-note,Always enabled in markup; no central command-context contract,None,engine.setFermata(true),Adds a persistent fermata to selected score events,One Composer engine commit; tested undo/redo where applicable,Score mutation triggers staff/page rerender,Must remain synchronized where semantic music changes,Persisted in .airscore; MusicXML verified where applicable,Uses authoritative score events; no parallel UI-only model,Active-part operation or shared score; linked-part proof incomplete,Serialized to .airscore and MusicXML where supported,Context-gated; recoverable musical errors leave score unchanged,browser-smoke command; engine-method references in tests: 3,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,43,"Build 43 connects this control to the authoritative score model with undo, persistence, staff rendering and automated regression evidence; Windows/manual usability evidence remains required.",PARTIALLY FUNCTIONAL,HIDDEN,selection,browser-smoke command; engine-method references in tests: 3,No new human Windows verification in Build 42,VERIFIED FUNCTIONAL,VISIBLE,selected-note,existing notation tests; browser smoke,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('fermata'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('fermata'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:fitPage,Fit page,fitPage,,view,LAYOUT AND PAGES,score,Always enabled in markup; no central command-context contract,None,fitZoom,No score mutation; genuine workspace/view operation,Not applicable or transport/view only,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Not applicable,Indirect through authoritative score where applicable,Not applicable or covered by existing engine path,None,Status/error banner; context-sensitive disabling absent in Build 40,static wiring only,No complete manual staff-workflow proof in current environment,VERIFIED FUNCTIONAL,VISIBLE,41,Direct renderer or engine path has automated evidence; final Windows/manual usability evidence is still required.,VERIFIED FUNCTIONAL,VISIBLE,score,static wiring only,No new human Windows verification in Build 42,VERIFIED FUNCTIONAL,VISIBLE,score,static wiring only,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('fitPage'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('fitPage'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:fitWidth,Fit width,fitWidth,,view,LAYOUT AND PAGES,score,Always enabled in markup; no central command-context contract,None,fitZoom,No score mutation; genuine workspace/view operation,Not applicable or transport/view only,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Not applicable,Indirect through authoritative score where applicable,Not applicable or covered by existing engine path,None,Status/error banner; context-sensitive disabling absent in Build 40,static wiring only,No complete manual staff-workflow proof in current environment,VERIFIED FUNCTIONAL,VISIBLE,41,Direct renderer or engine path has automated evidence; final Windows/manual usability evidence is still required.,VERIFIED FUNCTIONAL,VISIBLE,score,static wiring only,No new human Windows verification in Build 42,VERIFIED FUNCTIONAL,VISIBLE,score,static wiring only,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('fitWidth'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('fitWidth'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
